Timestamp,Location,State,Threat_Level,Threat_Probability,Fume_Detection,Metal_Detection,GPR_Reading,Ground_CV,Drone_CV,Disturbance,Thermal,Explosive_Type,Fume_Signature,Danger_Level,Detonation_Velocity,Density,Brisance,Explosive_Class,Action
2025-09-03 13:14:13,Wokha Checkpoint,Nagaland,MODERATE,52.57,61.47,58.83,51.24,56.24,46.45,28.08,42.26,TATP-004,Unknown,High,5340,1.188,N/A (Primary),Primary Explosive; HME,Enhanced monitoring and caution advised
2025-09-03 13:38:31,Zunheboto Hills,Nagaland,MODERATE,45.68,58.0,53.63,33.85,43.17,43.42,28.96,42.52,RDX-009,Orange/Brown NOx,Very High,8840,1.838,Very High,Nitramine Secondary Explosive,Enhanced monitoring and caution advised
2025-09-03 15:15:03,Tura Town,Meghalaya,HIGH,70.29,78.34,71.58,72.55,74.72,65.22,51.38,54.89,Emulsion-008,Orange/Brown NOx,High,5180,1.241,Medium to High,Water-Based Blasting Agent,Route diversion and increased surveillance
2025-09-03 16:54:06,Zunheboto Hills,Nagaland,CRITICAL,80.92,95.19,77.53,81.39,69.5,72.49,79.37,63.94,HMTD-007,Unknown,Medium,4020,1.584,N/A (Primary),Primary Explosive; HME,Immediate evacuation and EOD deployment
2025-09-03 17:30:30,Nongpoh Junction,Meghalaya,MODERATE,47.24,53.76,47.27,46.7,57.6,40.09,27.68,49.31,TNT-008,Black/Orange-Brown,High,6980,1.666,High,Nitroaromatic Secondary Explosive,Enhanced monitoring and caution advised
2025-09-03 18:30:00,Jowai Checkpoint,Meghalaya,LOW,22.02,38.27,32.84,6.71,17.48,27.75,0.0,0.38,ANFO-004,Orange/Brown NOx,Medium,3490,0.883,Low to Medium,Blasting Agent,Standard patrol procedures
2025-09-03 18:55:06,Champhai Border,Mizoram,LOW,16.2,23.87,15.84,7.12,7.04,34.8,1.2,26.85,LeadAzide-008,Unknown,High,5380,4.726,Medium,Primary Explosive,Standard patrol procedures
2025-09-03 19:18:49,Churachandpur Border,Manipur,CRITICAL,83.39,88.01,99.68,76.2,77.17,76.62,75.66,65.25,LeadAzide-003,Unknown,High,5330,4.716,Medium,Primary Explosive,Immediate evacuation and EOD deployment
2025-09-03 20:32:23,Ziro Valley,Arunachal Pradesh,LOW,22.5,14.03,22.74,32.82,8.31,31.01,26.21,26.63,WaterGel-008,Orange/Brown NOx,Medium,4330,1.216,Medium to High,Water-Based Blasting Agent,Standard patrol procedures
2025-09-03 20:53:28,Ziro Valley,Arunachal Pradesh,HIGH,66.39,75.44,77.03,59.12,70.83,63.38,44.28,49.0,WaterGel-006,Orange/Brown NOx,Medium,4310,1.212,Medium to High,Water-Based Blasting Agent,Route diversion and increased surveillance
2025-09-03 20:57:47,Lunglei Town,Mizoram,CRITICAL,78.96,93.19,82.89,66.49,84.8,84.48,57.07,63.16,WaterGel-008,Orange/Brown NOx,Medium,4330,1.216,Medium to High,Water-Based Blasting Agent,Immediate evacuation and EOD deployment
2025-09-03 21:35:30,Dawki Border,Meghalaya,CRITICAL,82.07,88.68,75.28,90.2,78.16,82.25,70.39,74.38,WaterGel-005,Orange/Brown NOx,Medium,4300,1.21,Medium to High,Water-Based Blasting Agent,Immediate evacuation and EOD deployment
2025-09-03 22:02:03,Dibrugarh Oil Town,Assam,MODERATE,52.71,66.05,54.06,34.61,58.91,57.4,51.32,34.11,HMX-008,Orange/Brown NOx,Very High,9180,1.926,Extremely High,Nitramine Secondary Explosive,Enhanced monitoring and caution advised
2025-09-03 22:28:54,Bongaigaon Refinery,Assam,HIGH,70.36,75.41,70.94,69.95,62.95,69.89,67.34,66.15,HMX-008,Orange/Brown NOx,Very High,9180,1.926,Extremely High,Nitramine Secondary Explosive,Route diversion and increased surveillance
2025-09-03 23:58:45,Guwahati City,Assam,LOW,18.82,22.03,32.32,2.18,5.32,25.09,22.27,22.9,TATP-008,Unknown,High,5380,1.196,N/A (Primary),Primary Explosive; HME,Standard patrol procedures
2025-09-04 01:06:02,Senapati Checkpoint,Manipur,LOW,24.46,30.76,41.46,15.84,26.2,25.0,0.0,3.88,LeadAzide-005,Unknown,High,5350,4.72,Medium,Primary Explosive,Standard patrol procedures
2025-09-04 01:55:21,Imphal City Center,Manipur,CRITICAL,80.75,87.07,92.83,72.45,81.72,76.04,69.31,64.33,HMTD-010,Unknown,Medium,4050,1.59,N/A (Primary),Primary Explosive; HME,Immediate evacuation and EOD deployment
2025-09-04 02:20:56,Kohima City,Nagaland,MODERATE,47.1,54.48,48.68,52.62,35.22,40.53,42.73,27.51,BlackPowder-009,White vapor,Low,445,1.693,Medium,Low Explosive,Enhanced monitoring and caution advised
2025-09-04 04:21:35,Aizawl City,Mizoram,HIGH,68.34,74.46,61.75,77.36,67.96,65.6,58.17,54.68,CompB-004,Black/Orange-Brown,Very High,7985,1.693,Very High,Melt-Cast Mixture,Route diversion and increased surveillance
2025-09-04 04:51:33,Jorhat District,Assam,CRITICAL,85.07,99.07,99.15,69.84,80.29,83.36,64.48,73.85,Semtex-005,Orange/Brown NOx,Very High,7595,1.505,Very High,Plastic Explosive (PBX),Immediate evacuation and EOD deployment
2025-09-04 06:39:25,Itanagar Capital,Arunachal Pradesh,LOW,28.36,43.5,12.11,23.51,38.0,26.47,27.19,23.88,RDX-009,Orange/Brown NOx,Very High,8840,1.838,Very High,Nitramine Secondary Explosive,Standard patrol procedures
2025-09-04 06:51:03,Phek District,Nagaland,HIGH,72.03,79.23,75.23,69.48,69.14,70.73,61.58,62.73,Lead Azide,Unknown,High,5300,4.71,Medium,Primary Explosive,Route diversion and increased surveillance
2025-09-04 07:12:01,Shillong City Center,Meghalaya,LOW,21.04,17.29,14.8,41.36,26.44,9.1,6.62,25.51,HMTD-006,Unknown,Medium,4010,1.582,N/A (Primary),Primary Explosive; HME,Standard patrol procedures
2025-09-04 08:15:06,Ziro Valley,Arunachal Pradesh,LOW,27.73,47.76,12.07,20.82,32.3,26.01,31.14,5.37,TNT-008,Black/Orange-Brown,High,6980,1.666,High,Nitroaromatic Secondary Explosive,Standard patrol procedures
2025-09-04 08:54:10,Mon Border Area,Nagaland,LOW,29.88,44.09,34.91,32.64,21.29,29.25,0.0,5.95,BlackPowder-002,White vapor,Low,410,1.679,Medium,Low Explosive,Standard patrol procedures
2025-09-04 10:25:48,Kohima City,Nagaland,HIGH,64.15,63.41,64.7,70.72,64.44,68.2,51.4,56.22,ANFO,Orange/Brown NOx,Medium,3450,0.875,Low to Medium,Blasting Agent,Route diversion and increased surveillance
2025-09-04 11:35:30,Haflong Hills,Assam,MODERATE,52.11,57.32,65.76,54.65,38.82,50.88,26.01,42.63,Lead Azide,Unknown,High,5300,4.71,Medium,Primary Explosive,Enhanced monitoring and caution advised
2025-09-04 11:50:21,Mon Border Area,Nagaland,LOW,31.23,33.09,49.25,23.99,9.15,28.73,33.85,22.83,TATP-005,Unknown,High,5350,1.19,N/A (Primary),Primary Explosive; HME,Standard patrol procedures
2025-09-04 12:01:39,Jorhat District,Assam,LOW,25.6,32.53,41.9,11.9,9.64,19.84,32.81,9.44,LeadAzide-001,Unknown,High,5310,4.712,Medium,Primary Explosive,Standard patrol procedures
2025-09-04 12:34:02,Williamnagar Border,Meghalaya,MODERATE,53.89,60.37,62.49,45.08,60.95,56.2,36.98,37.34,CompB-006,Black/Orange-Brown,Very High,8005,1.697,Very High,Melt-Cast Mixture,Enhanced monitoring and caution advised
2025-09-04 13:59:50,Sabroom Border Post,Tripura,LOW,37.68,52.58,32.29,35.62,34.23,25.28,37.93,24.2,PETN-003,Orange/Brown NOx,Very High,8430,1.776,Very High,Nitrate Ester Secondary Explosive,Standard patrol procedures
2025-09-04 15:48:16,Aizawl City,Mizoram,HIGH,64.51,70.42,63.1,55.11,72.99,69.65,58.31,63.44,C4-007,Black/Orange-Brown,Very High,8136,1.674,Very High,Plastic Explosive (PBX),Route diversion and increased surveillance
2025-09-04 15:57:54,Tawang Border,Arunachal Pradesh,HIGH,62.72,79.55,60.57,51.75,67.99,58.38,53.98,46.64,BlackPowder-005,White vapor,Low,425,1.685,Medium,Low Explosive,Route diversion and increased surveillance
2025-09-04 16:16:59,Dimapur Junction,Nagaland,HIGH,71.49,87.48,69.39,62.63,70.74,76.09,56.27,58.17,Semtex-005,Orange/Brown NOx,Very High,7595,1.505,Very High,Plastic Explosive (PBX),Route diversion and increased surveillance
2025-09-04 16:26:35,Imphal City Center,Manipur,CRITICAL,84.15,92.18,86.24,77.54,77.47,89.97,77.24,77.7,CompB-001,Black/Orange-Brown,Very High,7955,1.687,Very High,Melt-Cast Mixture,Immediate evacuation and EOD deployment
2025-09-04 17:04:15,Bishnupur District,Manipur,CRITICAL,78.15,91.54,76.47,68.45,79.41,81.02,67.38,69.98,Nitroglycerin,Orange/Brown NOx,High,7500,1.6,Very High,Nitrate Ester Secondary Explosive,Immediate evacuation and EOD deployment
2025-09-04 17:21:42,Tura Town,Meghalaya,HIGH,62.44,63.83,62.67,69.69,63.97,59.15,48.85,56.32,HMTD-005,Unknown,Medium,4000,1.58,N/A (Primary),Primary Explosive; HME,Route diversion and increased surveillance
2025-09-04 17:21:46,Williamnagar Border,Meghalaya,HIGH,64.25,79.57,52.53,68.39,69.8,59.0,49.81,46.23,BlackPowder-010,White vapor,Low,450,1.695,Medium,Low Explosive,Route diversion and increased surveillance
2025-09-04 17:35:14,Churachandpur Border,Manipur,LOW,14.1,19.77,8.24,7.43,9.43,29.57,21.11,0.25,LeadAzide-009,Unknown,High,5390,4.728,Medium,Primary Explosive,Standard patrol procedures
2025-09-04 17:42:40,Williamnagar Border,Meghalaya,LOW,25.08,43.01,15.4,14.94,27.05,33.82,9.14,25.25,Dynamite-004,Orange/Brown NOx,Medium,4590,1.508,High,Nitroglycerin-Based Mixture,Standard patrol procedures
2025-09-04 20:27:40,Wokha Checkpoint,Nagaland,LOW,20.33,23.36,19.34,24.54,21.49,17.87,16.2,3.09,PETN-001,Orange/Brown NOx,Very High,8410,1.772,Very High,Nitrate Ester Secondary Explosive,Standard patrol procedures
2025-09-04 21:33:57,Bishnupur District,Manipur,MODERATE,54.99,50.7,63.81,62.89,41.3,45.57,56.79,52.13,HMX-006,Orange/Brown NOx,Very High,9160,1.922,Extremely High,Nitramine Secondary Explosive,Enhanced monitoring and caution advised
2025-09-05 00:20:02,Agartala City,Tripura,LOW,28.7,29.97,30.73,31.07,35.23,39.54,0.0,27.44,NG-001,Orange/Brown NOx,Very High,7510,1.602,Very High,Nitrate Ester Secondary Explosive,Standard patrol procedures
2025-09-05 01:30:48,Guwahati City,Assam,MODERATE,50.55,46.82,63.21,60.48,37.24,37.08,49.08,35.38,WaterGel-004,Orange/Brown NOx,Medium,4290,1.208,Medium,Water-Based Blasting Agent,Enhanced monitoring and caution advised
2025-09-05 02:22:49,Guwahati City,Assam,MODERATE,44.82,56.25,61.15,28.4,41.7,44.98,26.48,30.55,ANFO,Orange/Brown NOx,Medium,3450,0.875,Low to Medium,Blasting Agent,Enhanced monitoring and caution advised
2025-09-05 04:20:09,Belonia Checkpoint,Tripura,HIGH,61.9,65.5,70.4,55.88,68.39,57.99,47.51,57.54,MercuryFulminate-009,Unknown,Medium,4340,4.438,Medium,Primary Explosive,Route diversion and increased surveillance
2025-09-05 05:27:07,Jiribam Railway Station,Manipur,CRITICAL,84.88,91.84,86.95,91.31,78.83,78.41,67.79,75.23,HMX-004,Orange/Brown NOx,Very High,9140,1.918,Extremely High,Nitramine Secondary Explosive,Immediate evacuation and EOD deployment
2025-09-05 06:50:33,Tuensang District,Nagaland,HIGH,66.66,76.88,63.5,65.09,62.41,65.09,62.2,55.03,HMTD-001,Unknown,Medium,3960,1.572,N/A (Primary),Primary Explosive; HME,Route diversion and increased surveillance
2025-09-05 08:31:24,Tura Town,Meghalaya,CRITICAL,81.2,80.63,84.26,83.43,74.29,81.99,79.72,78.08,TATP-008,Unknown,High,5380,1.196,N/A (Primary),Primary Explosive; HME,Immediate evacuation and EOD deployment
2025-09-05 09:48:48,Udaipur District,Tripura,HIGH,75.26,86.47,73.5,74.01,65.91,76.06,66.57,65.82,Semtex-004,Orange/Brown NOx,Very High,7585,1.503,Very High,Plastic Explosive (PBX),Route diversion and increased surveillance
2025-09-05 10:34:01,Itanagar Capital,Arunachal Pradesh,LOW,16.58,14.37,33.23,15.71,10.69,13.27,7.22,1.61,ANFO-008,Orange/Brown NOx,Medium,3530,0.891,Low,Blasting Agent,Standard patrol procedures
2025-09-05 11:21:12,Dibrugarh Oil Town,Assam,LOW,20.47,28.91,13.43,14.42,16.95,32.1,20.59,14.11,Dynamite-002,Orange/Brown NOx,Medium,4570,1.504,High,Nitroglycerin-Based Mixture,Standard patrol procedures
2025-09-05 16:10:07,Tezpur Airbase,Assam,CRITICAL,82.03,95.31,74.82,89.05,72.19,82.06,64.77,70.48,HMTD-004,Unknown,Medium,3990,1.578,N/A (Primary),Primary Explosive; HME,Immediate evacuation and EOD deployment
2025-09-05 16:27:42,Williamnagar Border,Meghalaya,LOW,33.44,49.54,23.98,32.52,39.6,14.1,31.9,23.79,NG-005,Orange/Brown NOx,Very High,7550,1.61,Very High,Nitrate Ester Secondary Explosive,Standard patrol procedures
2025-09-05 18:23:34,Tawang Border,Arunachal Pradesh,CRITICAL,80.67,86.83,89.02,70.3,80.21,89.16,67.98,67.22,LeadAzide-005,Unknown,High,5350,4.72,Medium,Primary Explosive,Immediate evacuation and EOD deployment
2025-09-05 18:45:56,Bongaigaon Refinery,Assam,CRITICAL,83.71,93.65,85.74,89.53,75.36,81.11,59.27,73.4,WaterGel-007,Orange/Brown NOx,Medium,4320,1.214,Medium,Water-Based Blasting Agent,Immediate evacuation and EOD deployment
2025-09-05 18:56:55,Baghmara District,Meghalaya,CRITICAL,82.71,86.24,76.46,90.1,77.67,86.41,75.11,78.42,PETN-001,Orange/Brown NOx,Very High,8410,1.772,Very High,Nitrate Ester Secondary Explosive,Immediate evacuation and EOD deployment
2025-09-05 20:00:14,Kokrajhar Border,Assam,CRITICAL,84.38,87.28,91.99,84.5,80.64,85.41,66.68,79.8,Emulsion-006,Orange/Brown NOx,High,5160,1.237,Medium to High,Water-Based Blasting Agent,Immediate evacuation and EOD deployment
2025-09-05 21:44:21,Bishnupur District,Manipur,LOW,17.93,19.33,17.04,7.96,33.32,30.69,3.85,26.24,Emulsion-002,Orange/Brown NOx,High,5120,1.229,Medium to High,Water-Based Blasting Agent,Standard patrol procedures
2025-09-05 23:11:23,Thoubal Checkpoint,Manipur,HIGH,65.78,69.0,75.48,62.32,61.29,61.05,59.04,56.67,Emulsion-003,Orange/Brown NOx,High,5130,1.231,Medium to High,Water-Based Blasting Agent,Route diversion and increased surveillance
2025-09-05 23:23:51,Udaipur District,Tripura,CRITICAL,83.15,99.56,88.41,71.28,75.38,78.94,74.45,68.91,CompB-006,Black/Orange-Brown,Very High,8005,1.697,Very High,Melt-Cast Mixture,Immediate evacuation and EOD deployment
2025-09-06 02:44:18,Itanagar Capital,Arunachal Pradesh,CRITICAL,83.28,90.9,93.04,80.04,84.9,78.81,60.02,71.25,MercuryFulminate-007,Unknown,Medium,4320,4.434,Medium,Primary Explosive,Immediate evacuation and EOD deployment
2025-09-06 02:45:12,Senapati Checkpoint,Manipur,MODERATE,51.59,62.52,49.92,47.05,45.04,48.07,49.19,46.68,HMTD,Unknown,Medium,3950,1.57,N/A (Primary),Primary Explosive; HME,Enhanced monitoring and caution advised
2025-09-06 04:02:04,Dibrugarh Oil Town,Assam,MODERATE,45.27,56.3,52.73,37.5,37.65,49.9,23.22,41.42,BlackPowder-009,White vapor,Low,445,1.693,Medium,Low Explosive,Enhanced monitoring and caution advised
2025-09-06 04:41:27,Guwahati City,Assam,HIGH,65.66,69.79,77.69,55.4,65.86,65.32,58.85,51.78,MercuryFulminate-009,Unknown,Medium,4340,4.438,Medium,Primary Explosive,Route diversion and increased surveillance
2025-09-06 05:52:44,Churachandpur Border,Manipur,LOW,27.86,21.54,32.5,31.79,23.49,31.79,26.7,28.45,TNT-010,Black/Orange-Brown,High,7000,1.67,High,Nitroaromatic Secondary Explosive,Standard patrol procedures
2025-09-06 06:01:28,Haflong Hills,Assam,LOW,30.81,49.94,19.99,34.08,29.66,15.68,19.65,20.31,CompB-005,Black/Orange-Brown,Very High,7995,1.695,Very High,Melt-Cast Mixture,Standard patrol procedures
2025-09-06 06:42:10,Moreh Border Post,Manipur,MODERATE,52.16,69.17,36.66,48.73,58.82,50.7,45.48,45.7,LeadAzide-009,Unknown,High,5390,4.728,Medium,Primary Explosive,Enhanced monitoring and caution advised
2025-09-06 08:09:51,Imphal City Center,Manipur,MODERATE,48.3,55.74,46.04,52.18,54.07,43.88,31.82,35.01,PETN,Orange/Brown NOx,Very High,8400,1.77,Very High,Nitrate Ester Secondary Explosive,Enhanced monitoring and caution advised
2025-09-06 09:03:56,Nongpoh Junction,Meghalaya,LOW,22.19,22.74,32.12,9.89,20.24,35.59,11.11,28.24,HMX-003,Orange/Brown NOx,Very High,9130,1.916,Extremely High,Nitramine Secondary Explosive,Standard patrol procedures
2025-09-06 10:01:35,Ukhrul Hills,Manipur,CRITICAL,80.16,81.04,81.41,80.68,77.84,81.48,76.93,77.25,TATP-004,Unknown,High,5340,1.188,N/A (Primary),Primary Explosive; HME,Immediate evacuation and EOD deployment
2025-09-06 10:23:28,Shillong City Center,Meghalaya,HIGH,68.54,77.67,75.47,76.84,55.81,62.85,43.7,48.43,MercuryFulminate-001,Unknown,Medium,4260,4.422,Medium,Primary Explosive,Route diversion and increased surveillance
2025-09-06 11:59:02,Imphal City Center,Manipur,HIGH,63.25,78.88,59.36,55.95,55.19,69.78,47.92,63.5,TATP-005,Unknown,High,5350,1.19,N/A (Primary),Primary Explosive; HME,Route diversion and increased surveillance
2025-09-06 12:08:14,Dimapur Junction,Nagaland,CRITICAL,76.47,82.17,82.92,69.21,68.65,73.54,75.62,74.37,WaterGel-007,Orange/Brown NOx,Medium,4320,1.214,Medium,Water-Based Blasting Agent,Immediate evacuation and EOD deployment
2025-09-06 15:00:33,Silchar Airport,Assam,HIGH,75.65,86.17,74.45,80.48,59.46,74.31,70.45,53.92,CompB-003,Black/Orange-Brown,Very High,7975,1.691,Very High,Melt-Cast Mixture,Route diversion and increased surveillance
2025-09-06 15:01:44,Jowai Checkpoint,Meghalaya,LOW,23.39,24.03,25.62,37.62,16.84,27.47,0.0,6.14,HMTD-006,Unknown,Medium,4010,1.582,N/A (Primary),Primary Explosive; HME,Standard patrol procedures
2025-09-06 17:49:33,Cherrapunji Hills,Meghalaya,LOW,27.36,31.96,27.92,34.16,33.53,32.61,0.0,6.73,Dynamite-003,Orange/Brown NOx,Medium,4580,1.506,High,Nitroglycerin-Based Mixture,Standard patrol procedures
2025-09-06 19:41:28,Jowai Checkpoint,Meghalaya,MODERATE,47.17,56.12,44.02,43.55,54.24,54.33,26.64,42.12,Dynamite,Orange/Brown NOx,Medium,4550,1.5,High to Very High,Nitroglycerin-Based Mixture,Enhanced monitoring and caution advised
2025-09-06 20:22:27,Kokrajhar Border,Assam,HIGH,71.32,81.96,75.05,72.3,63.46,61.77,62.69,51.44,MercuryFulminate-002,Unknown,Medium,4270,4.424,Medium,Primary Explosive,Route diversion and increased surveillance
2025-09-06 21:01:28,Wokha Checkpoint,Nagaland,MODERATE,56.43,69.8,59.39,56.31,56.93,58.4,26.61,32.9,LeadAzide-001,Unknown,High,5310,4.712,Medium,Primary Explosive,Enhanced monitoring and caution advised
2025-09-06 22:27:34,Phek District,Nagaland,MODERATE,49.61,49.28,40.57,64.17,52.26,49.4,42.68,38.09,CompB-007,Black/Orange-Brown,Very High,8015,1.699,Very High,Melt-Cast Mixture,Enhanced monitoring and caution advised
2025-09-07 00:33:59,Tezpur Airbase,Assam,CRITICAL,89.5,97.36,88.55,93.78,85.21,84.6,81.5,71.32,NG-002,Orange/Brown NOx,Very High,7520,1.604,Very High,Nitrate Ester Secondary Explosive,Immediate evacuation and EOD deployment
2025-09-07 01:00:33,Jorhat District,Assam,CRITICAL,75.78,78.0,73.04,79.17,70.03,81.58,71.9,69.82,HMTD-010,Unknown,Medium,4050,1.59,N/A (Primary),Primary Explosive; HME,Immediate evacuation and EOD deployment
2025-09-07 04:09:27,Kokrajhar Border,Assam,CRITICAL,81.69,89.09,91.6,68.01,75.46,87.8,76.69,70.01,Semtex-002,Orange/Brown NOx,Very High,7565,1.499,Very High,Plastic Explosive (PBX),Immediate evacuation and EOD deployment
2025-09-07 04:20:43,Kakching District,Manipur,MODERATE,49.45,52.24,56.92,38.84,43.97,59.74,50.67,35.97,PETN-004,Orange/Brown NOx,Very High,8440,1.778,Very High,Nitrate Ester Secondary Explosive,Enhanced monitoring and caution advised
2025-09-07 04:52:56,Zunheboto Hills,Nagaland,MODERATE,55.25,57.73,56.19,53.1,54.74,62.17,52.48,40.45,CompB-004,Black/Orange-Brown,Very High,7985,1.693,Very High,Melt-Cast Mixture,Enhanced monitoring and caution advised
2025-09-07 07:13:19,Itanagar Capital,Arunachal Pradesh,LOW,31.2,19.24,42.62,44.62,38.68,24.47,17.22,17.97,HMX-007,Orange/Brown NOx,Very High,9170,1.924,Extremely High,Nitramine Secondary Explosive,Standard patrol procedures
2025-09-07 08:35:57,Ukhrul Hills,Manipur,CRITICAL,79.79,82.44,78.01,77.07,81.9,84.41,76.46,77.73,Emulsion-002,Orange/Brown NOx,High,5120,1.229,Medium to High,Water-Based Blasting Agent,Immediate evacuation and EOD deployment
2025-09-07 16:13:40,Phek District,Nagaland,MODERATE,49.54,64.81,63.74,31.88,39.7,46.7,41.43,28.52,MercuryFulminate-004,Unknown,Medium,4290,4.428,Medium,Primary Explosive,Enhanced monitoring and caution advised
2025-09-07 17:26:14,Moreh Border Post,Manipur,CRITICAL,82.82,95.54,76.5,70.04,87.7,87.52,82.75,76.65,Semtex-006,Orange/Brown NOx,Very High,7605,1.507,Very High,Plastic Explosive (PBX),Immediate evacuation and EOD deployment
2025-09-07 18:10:09,Williamnagar Border,Meghalaya,MODERATE,51.84,63.16,46.22,51.53,59.57,49.88,37.53,36.17,TATP-006,Unknown,High,5360,1.192,N/A (Primary),Primary Explosive; HME,Enhanced monitoring and caution advised
2025-09-07 18:49:20,Udaipur District,Tripura,CRITICAL,81.17,95.03,88.94,77.67,71.61,77.12,59.97,64.38,ANFO,Orange/Brown NOx,Medium,3450,0.875,Low to Medium,Blasting Agent,Immediate evacuation and EOD deployment
2025-09-07 19:39:10,Mokokchung Town,Nagaland,LOW,31.65,32.44,45.86,21.29,34.14,27.69,37.53,3.42,CompB-010,Black/Orange-Brown,Very High,8045,1.705,Very High,Melt-Cast Mixture,Standard patrol procedures
2025-09-07 19:39:32,Cherrapunji Hills,Meghalaya,HIGH,74.89,82.01,85.13,77.67,68.72,64.17,58.36,54.04,NG-007,Orange/Brown NOx,Very High,7570,1.614,Very High,Nitrate Ester Secondary Explosive,Route diversion and increased surveillance
2025-09-07 20:17:46,Thoubal Checkpoint,Manipur,HIGH,74.19,79.5,84.73,71.06,75.0,68.99,59.64,55.88,RDX-004,Orange/Brown NOx,Very High,8790,1.828,Very High,Nitramine Secondary Explosive,Route diversion and increased surveillance
2025-09-07 20:40:02,Baghmara District,Meghalaya,MODERATE,54.59,65.39,58.18,46.6,54.63,51.07,46.0,42.42,C4-004,Black/Orange-Brown,Very High,8106,1.668,Very High,Plastic Explosive (PBX),Enhanced monitoring and caution advised
2025-09-07 20:40:46,Jiribam Railway Station,Manipur,HIGH,67.95,81.79,62.24,58.19,70.91,69.84,60.9,65.01,C4-007,Black/Orange-Brown,Very High,8136,1.674,Very High,Plastic Explosive (PBX),Route diversion and increased surveillance
2025-09-07 21:13:58,Itanagar Capital,Arunachal Pradesh,LOW,29.26,34.51,46.11,10.22,35.06,25.14,31.06,4.81,Semtex-007,Orange/Brown NOx,Very High,7615,1.509,Very High,Plastic Explosive (PBX),Standard patrol procedures
2025-09-07 23:14:55,Tura Town,Meghalaya,HIGH,71.88,77.59,76.23,76.4,67.32,66.63,55.88,59.5,TATP-009,Unknown,High,5390,1.198,N/A (Primary),Primary Explosive; HME,Route diversion and increased surveillance
2025-09-07 23:51:10,Baghmara District,Meghalaya,CRITICAL,78.52,82.44,76.04,77.82,86.95,77.65,71.58,70.4,ANFO-001,Orange/Brown NOx,Medium,3460,0.877,Low to Medium,Blasting Agent,Immediate evacuation and EOD deployment
2025-09-08 02:50:35,Dimapur Junction,Nagaland,MODERATE,46.6,51.79,66.48,35.11,32.32,43.89,34.65,44.99,ANFO-009,Orange/Brown NOx,Medium,3540,0.893,Low to Medium,Blasting Agent,Enhanced monitoring and caution advised
2025-09-08 04:06:54,Tezpur Airbase,Assam,CRITICAL,81.4,84.95,86.1,75.02,87.21,83.48,75.48,66.44,Emulsion-003,Orange/Brown NOx,High,5130,1.231,Medium to High,Water-Based Blasting Agent,Immediate evacuation and EOD deployment
